ID,Genes,Gene_Count,Term_Description
GO:0005525,GTPBP3 RHEB RAB33B RAB37 RASEF SEPHS1 RAB5A TUBB4B ADSS2 RAB44 MFHAS1 ARF3 TUBB3 RHOU GUCY1B1 GBP5 RAB4A GNAO1 NOA1 RAP1A EIF5 SCG5 GNL3 RAB28 RHOF RND1 RAB40A RAB39A RAC2 GUCY2C GBP1 IRGQ ZNG1B SEPTIN4 RHOJ MTG1 RAB43 SEPTIN1 TUBB6 RAB25 TUBB2B RAB6D RAB27B DRG1 RAB41 RAB30 TUBA8 RHOBTB2 RABL2A NKIRAS1 RASL12 NME1 CPLANE2 ARL4C SUCLG2 RAB3A ARL10 RAB5B GBP2 RAB40B GNA14 EIF2S3 ARL6 MFN1 DYNC1LI1 IFI44L AGAP3 CIITA RHEBL1 TUBG1 GNL1 RASL10A GNL3L GBP3 TUBAL3 GBP4 RAB6A SEPTIN5 RAB2B AGAP1 ARL2 SEPTIN2 ARF5 EEF1A1 SEPTIN14 RIGI EHD1 SEPTIN6 RHOC RIT1 NUDT2 RAB11B GUCY1A1 RERG GIMAP1 MAB21L1 ARL16 EFTUD2 RHOA GBP7 KRAS AK3 RAB2A NIN GPN1 GUCY2D GIMAP4 GLUD2 GFM1 ARL14 RIT2 IRGM RAB8A TUBA4A GSPT1 GPN2 LSG1 RHOT2 RRAGD GNAI3 RAB3B ACSM1 RABL2B GNAQ RAB31 RAC1 DIRAS2 SEPTIN11 ARF1 DIRAS3 RAB1A SEPTIN7 EEF2 ARL5B ARL3 RAB18 RHOD GFM2 NRAS RAC3 FKBP4 RANBP17 MRAS RAB9B GLUD1 RAB19 RERGL RALA RAB7B GPN3 ARL5C RAB3C TUBB TUBG2 RHOB ARL8B RAB36 RAB26 RAB21 RRAGC SAR1B GNAI1 RAB33A UCP1 RASD1 RASL10B SPAG1 DAP3 IFT27 REM2 RHOV GNA15 RALB DIRAS1 ATL1 TUBA3E RAB24 RAB34 GNAL RRAS GIMAP2 ANXA6 GBP6 RP2 RTKN ARL8A ARHGAP5 RASD2 RAB1B DAPK1 RAB32 TUBE1 GNA12 INSR GEM ARHGEF5 GNL2 ARL1 PIP4K2B SAMHD1 URGCP RAB20 GNAT2 DNM2 EEFSEC RRAGB ZNG1F RRAGA SEPTIN9 LRRK2 RRAS2 SRP54 GIMAP8 TRIM23 TUBB4A GTPBP4 TUBD1 AGAP2 TUBA1A RAB7A ARL5A RAB12 RAB10 PCK1 HSP90AA1 RASL11A DNAJC27 ARL4D ARFRP1 GNAZ RAB14 RNF112 RAP2C ERAL1 CRACR2A RAB8B ARHGAP35 RAB15 RNGTT RAB6C HRAS GTPBP2 GIMD1 EEF1A2 SEPTIN8 TSR1 RAB29 CDC42 RAB9A CGAS RAB42 SEPTIN10 LOC107984156 GNAT1 NPR1 GIMAP6 IFT22 MX2 RTCB MMAA DNM1L GTPBP8 ARF4 SEPTIN3 GUF1 RHOH RAB40AL OPA1 MTG2 ADSS1 UPRT ARL4A EFL1 GSPT2 GIMAP5 GUCY1A2 TUBA3C ZNG1E LANCL2 RAB6B GTPBP6 MFN2 RASL11B FPGT EHD2 RCC1L RRAD MX1 GNA13 RHOG NOLC1 EHD3 RAP2B RAB38 LOC100996709 RAB39B RAB22A TUBA1C TUBA3D NMUR2 RAN ARL13B RAB13 TUBB8 GNA11 ZNG1C ACSM5 GNAT3 RABL6 AK4 RAB3D RND2 ARL17A TGM2 SRPRB ARL13A THG1L ARL9 NKIRAS2 RAB27A ZNG1A GTPBP10 RAB23 SAR1A GMPPB SRL ARF6 TUBB1 ARL11 RHOQ RND3 BMS1 GCH1 ARL15 HBS1L TUBB2A NUGGC SRPRA ACSM6 ERAS NPR2 OLA1 LRRK1 SEPTIN12 GIMAP7 RAB5C MTIF2 RHOBTB1 EIF5B TUFM ARFIP2 RHOT1 GUCY2F MOCS1 RAB40C RAP1B RAB17 DRG2 GTPBP1 TUBA1B RAB35 RABL3 EHD4 DNM1 DNM3 ATL2 PCK2 GNAI2 ARL17B RAP2A RAB11A RAB4B EIF2B2 HHAT GNAS IRGC REM1 ATL3,378,GTP binding
GO:0003968,TERT POLR2A,2,RNA-dependent RNA polymerase activity
GO:0008545,MAP2K7 MAP2K4,2,JUN kinase kinase activity
GO:0030545,TFF1 INSL3 GPHB5 VGF NPY MIA IL7 IL6 FGF10 MDK CDNF FGF22 ARTN FLRT2 GREM1 WNT6 CGB3 IL13 MLN CCL15 WNT5A IFNA10 SCG2 UCN PTN CCL25 GRP ENDOU PGLYRP1 SPX FBN1 C1QTNF12 TNFSF9 PYY IFNL2 JAG1 TSHB IFNK IFNA16 SEMA5B TGFB3 IFNA4 FGF3 COLEC10 MICOS10-NBL1 ASIP IL1B RLN1 NPFF IL37 NRG2 ENG DEFB114 THBS4 GDF2 CMTM3 DKKL1 CCL2 BMP1 INSL6 NENF PF4V1 OSGIN2 IL18 IL17D GDF11 WNT9A CGA IFNW1 PATE1 GDNF GDF6 GDF1 GNRH1 GHRL AMELX PGF PDGFD DEFB104B CGB5 IL19 CCL3L1 CCL27 DLL1 MSMP AMH TNFSF13 KL CGB2 PXDN LY6G6D EBI3 PRLH ALKAL1 NRG3 INSL5 ENHO C5 DEFB130B FGF19 CCL22 CCL28 WNT10A TAFA2 EPGN WFIKKN2 LACRT NDP LIF F2 WNT5B NPPB IFNL3 OGN IL36RN DPP4 CNTF IFNA2 IL12A IFNA21 IL9 CMTM2 TTR CKLF CMTM8 CXCL8 STC2 REG1A CDC42EP2 IL24 EDN2 NRG4 PNOC DEFB103A PRL XCL1 PPBP TNFSF15 ADIPOQ INSL4 SST GHRH BMP2 METRNL EDN3 IFNL1 LYPD6B SECTM1 NPPA GMFB WNT2 GH1 IFNA14 SEMA4F NODAL ESR2 UTS2 SCT INHA HMGB2 NRTN TNFSF12 IL17C ADA2 APLN SLURP2 CCL3L3 CCK MRAP SEMA4C FNDC5 NGF WNT2B SEMA7A GALP FGF23 GUCA2A IL32 IGF1 FGF5 MANF IFNA1 MIF BGLAP C1QTNF9 CALCA MSTN WNT8B AMBN CCL8 SPP1 GKN1 CCL16 SFRP2 FGF17 PSPN CCL20 IL12B PATE4 IL36B SEMA6B CXCL11 CMTM7 C1QTNF4 WNT8A CD86 CXCL5 SLURP1 XCL2 FSHB CSF2 CSH1 S100A4 METRN VIP TSLP FGF1 IL1A BMP7 LHB ZP3 CXCL12 CLCF1 CLEC11A DAND5 STC1 CCL13 CXCL9 WNT16 LEP DEFB130A VEGFB WNT7A BMP8B CD40LG IL17F INS CRLF1 GDF7 TIMP1 LYPD1 SEMA6D EGF IL16 WNT11 CORT CCL24 IL21 BDNF HGF SCGB3A1 HBEGF ANGPTL8 BMP3 NTF3 PDGFB IGF2 LY6H SEMA3C WNT7B GPI BMP8A EPHA7 IFNA5 LYNX1 IL36G KITLG TNFSF12-TNFSF13 PPY HMGB1 IFNA7 FAM3D CSF1 GPR15LG CCL4L2 GRN IFNA17 TGFA IFNG CD320 DEFB104A SEMA3D IFNE PF4 CSH2 CCL4L1 GAST IFNL4 FGF2 TNFSF18 ADM INS-IGF2 PENK GDF10 ADH7 GIP FASLG TRH TNFRSF11B GDF15 WNT1 SEMA3E FGF11 IGSF1 LTB SEMA4A PRRT1 GDF5 CXCL13 FGF18 IL18BP RLN2 SEMA4B UCN3 IFNA8 LEFTY2 IL1RN LTA GAS6 EGFR CCL23 FST GCG RETNLB EDA IL3 TAFA4 TMEM35A F2RL2 CRH LY6E HAMP TNFSF14 FKBP1A INHBB WNT4 CGB7 LEFTY1 HDGF FGF21 DKK4 IL2 BMP15 DEFB4A SEMA3A CXCL2 GH2 CCL14 IAPP CCL3 FLT3LG IL34 NTF4 FGF7 SEMA4G FGF14 EREG IL26 VEGFD CCL7 CCL26 QRFP ALKBH1 DUT TNFSF4 GMFG TNFSF8 FBN2 PROK1 LRPAP1 NBL1 AVP HDGFL3 DKK1 CD70 OSGIN1 DEFB110 CXCL16 GNRH2 AREG APELA CGB8 TG SEMA5A POMC TGFB1 ADCYAP1 APOA1 FAM3B BMP6 THPO TNFSF11 IL23A EFEMP1 WNT3 SEMA6A PDGFA EDN1 TGFB2 IL33 ADM2 FGF8 GPHA2 WNT10B IL5 TYMP JAG2 SEMA3F CER1 WFIKKN1 DKK3 FLRT3 FGF12 IL17B IL4 REG3A TNFSF10 KNG1 CCN6 DKK2 CCN3 CARTPT CCL4 CCL18 PTH AGT VEGFA FAM3C IL31 FGF16 TNF CRIPTO CCL1 BTC SEMA3G CLEC12B GREM2 LYPD6 CMTM1 CLEC12A CTF1 CALCB ANGPTL3 IL27 DLL4 TAFA1 EPO GAL OXT IFNA13 CCL19 TAFA5 FGF13 ERFE IL17A FGF20 CXCL6 CMTM5 VSTM1 RLN3 BMP5 RETN NPPC SHH PDYN GDF3 CGB1 LYNX1-SLURP2 TNFSF13B FGF9 CXCL14 RABEP2 APP IL11 PMCH IL22 FGF4 NTS CCL17 INHBE PTHLH MACC1 GPIHBP1 PRKCE GDF9 CHGB CX3CL1 CDK5 CXCL10 IL36A NMB OSM WNT3A IL1F10 AGTR2 LGALS3 NRG1 SEMA4D THNSL2 CCL21 COPA CTSG PDE4D WNT9B CD80 SEMA6C FGF6 IL10 EFNA5 PCSK9 HCRT CXCL1 AIMP1 INHBC BMP4 CSPG5 INHBA RABEP1 CCL5 IL20 MRAP2 BMP10 IL15 C17orf99 GPNMB UTS2B DEFB103B CSF3 IL25 OSTN PDGFC CSHL1 SEMA3B TAFA3 AGRP LILRB4 IFNA6 ANGPT4 CCL11 GFER ALKAL2 DGKQ UCN2 DEFB4B VEGFC CXCL3 NAMPT IFNB1,548,signaling receptor regulator activity
GO:0004771,NCEH1 LCAT LIPE LIPA CES1 LDAH,6,sterol esterase activity
GO:0030515,XRCC5 DHX37 HEATR1 PRKDC NUDT16L1 NUDT7 NUDT5 IMP4 NUDT1 TSR1 BYSL RRP9 NHP2 TBL3 NUDT4 NUFIP1 NOP14 UTP6 BMS1 SDE2 DKC1 NOP58 DDX21 NOP10 NOP56 IMP3 UTP25 SNU13 NUDT16 ISG20 WDR3 GAR1,32,snoRNA binding
GO:0050694,GAL3ST4 GAL3ST2 GAL3ST1 GAL3ST3,4,galactose 3-O-sulfotransferase activity
GO:0016769,BCAT1 AADAT ABAT MGAT4A OAT AGXT ETNPPL GPT KYAT3 GFPT1 AMT BCAT2 GPT2 PHYKPL GOT1L1 ACCS GAPDH PSAT1 AGXT2 GFPT2 TAT GOT2 GOT1 ACCSL CISD1 KYAT1,26,"transferase activity, transferring nitrogenous groups"
GO:0099579,ADRB1 GABBR1,2,G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential
GO:0042806,ACR CLEC17A ASGR1 COLEC11 ASGR2 FUOM SELP CLEC10A,8,fucose binding
